obs	caseno	begin	end	event	backlog	agenda	qmv	qmvpostsea	qmvpostteu	coop	codec	eu9	eu10	eu12	eu15	thatcher
1	1	0	595	1	37	0	1	0	0	0	0	0	0	0	0	0
2	2	0	1246	1	37	0	1	0	0	0	0	0	0	0	0	0
3	4	0	341	1	37	0	0	0	0	0	0	0	0	0	0	0
4	5	0	335	1	37	0	0	0	0	0	0	0	0	0	0	0
5	6	0	522	1	37	0	1	0	0	0	0	0	0	0	0	0
6	7	0	1664	0	37	0	0	0	0	0	0	0	0	0	0	0
7	7	1664	1713	1	37	0	0	0	0	0	0	1	0	0	0	0
8	8	0	264	1	37	0	1	0	0	0	0	0	0	0	0	0
9	9	0	544	1	37	0	0	0	0	0	0	0	0	0	0	0
10	10	0	1210	1	37	0	0	0	0	0	0	0	0	0	0	0
11	11	0	242	1	37	0	1	0	0	0	0	0	0	0	0	0
12	12	0	242	1	37	0	1	0	0	0	0	0	0	0	0	0
13	13	0	242	1	37	0	1	0	0	0	0	0	0	0	0	0
14	14	0	242	1	37	0	1	0	0	0	0	0	0	0	0	0
15	15	0	374	1	37	0	1	0	0	0	0	0	0	0	0	0
16	16	0	830	1	37	0	1	0	0	0	0	0	0	0	0	0
17	17	0	830	1	37	0	1	0	0	0	0	0	0	0	0	0
18	18	0	1205	1	37	0	0	0	0	0	0	0	0	0	0	0
19	19	0	570	1	37	0	0	0	0	0	0	0	0	0	0	0
20	20	0	570	1	37	0	0	0	0	0	0	0	0	0	0	0
21	21	0	612	1	37	0	0	0	0	0	0	0	0	0	0	0
22	22	0	1630	0	37	0	0	0	0	0	0	0	0	0	0	0
23	22	1630	2933	1	37	0	0	0	0	0	0	1	0	0	0	0
24	23	0	1630	0	37	0	0	0	0	0	0	0	0	0	0	0
25	23	1630	3831	0	37	0	0	0	0	0	0	1	0	0	0	0
26	23	3831	4552	0	37	0	0	0	0	0	0	1	0	0	0	1
27	23	4552	6378	0	37	0	0	0	0	0	0	0	1	0	0	1
28	23	6378	6908	0	37	0	0	0	0	0	0	0	0	1	0	1
29	23	6908	8171	0	37	0	0	0	0	0	0	0	0	1	0	1
30	23	8171	8399	0	37	0	0	0	0	0	0	0	0	1	0	0
31	24	0	1628	0	37	0	0	0	0	0	0	0	0	0	0	0
32	24	1628	2055	1	37	0	0	0	0	0	0	1	0	0	0	0
33	25	0	1623	0	37	0	0	0	0	0	0	0	0	0	0	0
34	25	1623	2050	1	37	0	0	0	0	0	0	1	0	0	0	0
35	26	0	230	1	37	0	0	0	0	0	0	0	0	0	0	0
36	27	0	1616	0	37	0	0	0	0	0	0	0	0	0	0	0
37	27	1616	3059	0	37	0	0	0	0	0	0	1	0	0	0	0
38	29	0	1615	0	37	0	0	0	0	0	0	0	0	0	0	0
39	29	1615	2694	0	37	0	0	0	0	0	0	1	0	0	0	0
40	30	0	721	1	37	0	0	0	0	0	0	0	0	0	0	0
41	31	0	134	1	37	0	1	0	0	0	0	0	0	0	0	0
42	32	0	1529	0	37	0	0	0	0	0	0	0	0	0	0	0
43	32	1529	3730	0	37	0	0	0	0	0	0	1	0	0	0	0
44	32	3730	3804	0	37	0	0	0	0	0	0	1	0	0	0	1
45	33	0	1518	0	37	0	0	0	0	0	0	0	0	0	0	0
46	33	1518	3719	0	37	0	0	0	0	0	0	1	0	0	0	0
47	33	3719	3793	0	37	0	0	0	0	0	0	1	0	0	0	1
48	34	0	583	1	37	0	0	0	0	0	0	0	0	0	0	0
49	35	0	947	1	37	0	0	0	0	0	0	0	0	0	0	0
50	36	0	1472	0	37	0	0	0	0	0	0	0	0	0	0	0
51	36	1472	1991	1	37	0	0	0	0	0	0	1	0	0	0	0
52	37	0	1472	0	37	0	1	0	0	0	0	0	0	0	0	0
53	37	1472	1991	1	37	0	1	0	0	0	0	1	0	0	0	0
54	38	0	1447	0	68	0	0	0	0	0	0	0	0	0	0	0
55	38	1447	3648	0	68	0	0	0	0	0	0	1	0	0	0	0
56	38	3648	4369	0	68	0	0	0	0	0	0	1	0	0	0	1
57	38	4369	6195	0	68	0	0	0	0	0	0	0	1	0	0	1
